Serial Number,Name,Symptoms
1019,Schizophrenia,"Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; certain gestures or comments are directed at you; you have exceptional ability or fame; another person is in love with you; or a major catastrophe is about to occur. Delusions occur in most people with schizophrenia.,Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, they have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination.,Disorganized thinking (speech). Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad.,Extremely disorganized or abnormal motor behavior. This may show in a number of ways, from childlike silliness to unpredictable agitation. Behavior isn't focused on a goal, so it's hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement.,Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion (doesn't make eye contact, doesn't change facial expressions or speaks in a monotone). Also, the person may lose interest in everyday activities, socially withdraw or lack the ability to experience pleasure.,"
1020,Rickets,"Delayed growth,Delayed motor skills,Pain in the spine, pelvis and legs,Muscle weakness,"
1021,Arteriosclerosis / atherosclerosis,"If you have atherosclerosis in your heart arteries, you may have symptoms, such as chest pain or pressure (angina).,If you have atherosclerosis in the arteries leading to your brain, you may have signs and symptoms such as sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face. These signal a transient ischemic attack (TIA), which, if left untreated, may progress to a stroke.,If you have atherosclerosis in the arteries in your arms and legs, you may have symptoms of peripheral artery disease, such as leg pain when walking (claudication).,If you have atherosclerosis in the arteries leading to your kidneys, you develop high blood pressure or kidney failure.,"
1022,Broken nose,"Pain or tenderness, especially when touching your nose,Swelling of your nose and surrounding areas,Bleeding from your nose,Bruising around your nose or eyes,Crooked or misshapen nose,Difficulty breathing through your nose,Discharge of mucus from your nose,Feeling that one or both of your nasal passages are blocked,"
1023,Osteomalacia,"
Vitamin D deficiency. Sunlight produces vitamin D in your skin. Dietary vitamin D is usually from foods to which the vitamin has been added, such as cow's milk.
People who live in areas where sunlight is limited, get little exposure to sunlight or eat a diet low in vitamin D can develop osteomalacia. Vitamin D deficiency is the most common cause of osteomalacia worldwide.
,Certain surgeries. Normally, the stomach breaks down food to release calcium and other minerals that are absorbed in the intestine. This process is disrupted if you have surgery to remove part or all of your stomach or to bypass your small intestine and can result in vitamin D and calcium deficiency. ,Celiac disease. In this autoimmune disorder, foods containing gluten, a protein found in wheat, barley and rye, can damage the lining of your small intestine. A damaged intestinal lining doesn't absorb nutrients well, and can lead to vitamin D and calcium deficiency. ,Kidney or liver disorders. These organs are involved in activating vitamin D in your body. Problems with your kidneys or liver can affect your body's ability to make active vitamin D.,Drugs. Some drugs used to treat seizures, including phenytoin (Dilantin, Phenytek) and phenobarbital, can cause severe vitamin D deficiency and osteomalacia.,"
1024,Soy allergy,"Tingling in the mouth,Hives; itching; or itchy, scaly skin (eczema),Swelling of the lips, face, tongue and throat, or other body parts,Wheezing, a runny nose or breathing difficulty,Abdominal pain, diarrhea, nausea or vomiting,Skin redness (flushing),"
1025,Dandruff,"Skin flakes on your scalp, hair, eyebrows, beard or mustache, and shoulders,Itchy scalp,Scaly, crusty scalp in infants with cradle cap,"
1026,Bunions,"A bulging bump on the outside of the base of your big toe,Swelling, redness or soreness around your big toe joint,Corns or calluses — these often develop where the first and second toes rub against each other,Ongoing pain or pain that comes and goes,Limited movement of your big toe,"
1027,Dysphagia,"Having pain while swallowing (odynophagia),Being unable to swallow,Having the sensation of food getting stuck in your throat or chest or behind your breastbone (sternum),Drooling,Being hoarse,Bringing food back up (regurgitation),Having frequent heartburn,Having food or stomach acid back up into your throat,Unexpectedly losing weight,Coughing or gagging when swallowing,Having to cut food into smaller pieces or avoiding certain foods because of trouble swallowing,"
1028,Reactive arthritis,"Pain and stiffness. The joint pain associated with reactive arthritis most commonly occurs in your knees, ankles and feet. You also might have pain in your heels, low back or buttocks.,Eye inflammation. Many people who have reactive arthritis also develop eye inflammation (conjunctivitis).,Urinary problems. Increased frequency and discomfort during urination may occur, as can inflammation of the prostate gland or cervix.,Inflammation of soft tissue where it enters bone (enthesitis). This might include muscles, tendons and ligaments.,Swollen toes or fingers. In some cases, your toes or fingers might become so swollen that they resemble sausages.,Skin problems. Reactive arthritis can affect your skin a variety of ways, including a rash on your soles and palms and mouth sores.,Low back pain. The pain tends to be worse at night or in the morning.,"
1029,Carcinoid tumors,"Chest pain,Wheezing,Shortness of breath,Diarrhea,Redness or a feeling of warmth in your face and neck (skin flushing),Weight gain, particularly around the midsection and upper back,Pink or purple marks on the skin that look like stretch marks,"
1030,X-linked agammaglobulinemia,"Very small tonsils,Small or no lymph nodes,"
1031,Fuchs' dystrophy,"Blurred or cloudy vision, sometimes described as a general lack of clarity of vision.,Fluctuation in vision, with worse symptoms in the morning after awakening and gradually improving during the day. As the disease progresses, blurred vision either can take longer to improve or doesn't improve.,Glare, which can decrease your vision in dim and bright light.,Seeing halos around lights.,Pain or grittiness from tiny blisters on the surface of your cornea.,"
1032,Placenta accreta,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
1033,Childhood asthma,"
Asthma and hard flooring
,
Asthma in children under 5
,
Childhood asthma action plan
,
Hygiene hypothesis
,
Treating asthma in children age 12 and older
,
Treating asthma in children ages 5 to 11
,
Will my child outgrow asthma?
,"
1034,Albinism,"Freckles,Moles, with or without pigment — moles without pigment are generally pink-colored,Large freckle-like spots (lentigines),Sunburn and the inability to tan,"
1035,Anthrax,"A raised, itchy bump resembling an insect bite that quickly develops into a painless sore with a black center,Swelling in the sore and nearby lymph glands,Sometimes, flu-like symptoms including fever and headache,"
1036,Amniotic fluid embolism,"Symptoms & causes,Diagnosis & treatment,"
1037,Testicular cancer,"A lump or enlargement in either testicle,A feeling of heaviness in the scrotum,A dull ache in the abdomen or groin,A sudden collection of fluid in the scrotum,Pain or discomfort in a testicle or the scrotum,Enlargement or tenderness of the breasts,Back pain,"
1038,Pediatric brain tumors,"Headaches, which may become more frequent and more severe,Feeling of increased pressure in the head,Unexplained nausea or vomiting,Abrupt onset of vision problems, such double vision,"
1039,Chlamydia trachomatis,"Painful urination,Vaginal discharge in women,Discharge from the penis in men,Painful sexual intercourse in women,Bleeding between periods and after sex in women,Testicular pain in men,"
1040,Brain tumor,"
Ablation therapy
,
Acupuncture
,
Brain stereotactic radiosurgery
,
Chemotherapy
,
CT scan
,
Hypnosis
,
Meditation
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Stereotactic radiosurgery
,"
1041,Dermatomyositis,"Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis.,Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen.,"
1042,Childhood schizophrenia,"Symptoms & causes,Diagnosis & treatment,"
1043,Adenomyosis,"Heavy or prolonged menstrual bleeding,Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea),Chronic pelvic pain,Painful intercourse (dyspareunia),"
1044,Type 1 diabetes,"Increased thirst,Frequent urination,Bed-wetting in children who previously didn't wet the bed during the night,Extreme hunger,Unintended weight loss,Irritability and other mood changes,Fatigue and weakness,Blurred vision,"
1045,Hip impingement,"
Mayo Clinic Q and A: Understanding and treating hip impingement
Nov. 24, 2017, 07:00 p.m.  CDT
,"
1046,Allergies,"Sneezing,Itching of the nose, eyes or roof of the mouth,Runny, stuffy nose,Watery, red or swollen eyes (conjunctivitis),"
1047,Fever,"Sweating,Chills and shivering,Headache,Muscle aches,Loss of appetite,Irritability,Dehydration,General weakness,"
1048,Sty,"A red lump on your eyelid that is similar to a boil or a pimple,Eyelid pain,Eyelid swelling,Tearing,"
1049,Rectal prolapse,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
1050,Sun allergy,"Redness,Itching or pain,Tiny bumps that may merge into raised patches,Scaling, crusting or bleeding,Blisters or hives,"
1051,Dust mite allergy,"Sneezing,Runny nose,Itchy, red or watery eyes,Nasal congestion,Itchy nose, roof of mouth or throat,Postnasal drip,Cough,Facial pressure and pain,Swollen, blue-colored skin under your eyes,In a child, frequent upward rubbing of the nose,"
